,Chennai Super Kings,Delhi Capitals,Gujarat Titans,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Punjab Kings,Rajasthan Royals,Royal Challengers Bengaluru,Sunrisers Hyderabad
Chennai Super Kings,N/A,N/A,2.47,2.37,N/A,N/A,2.32,1.97,2.32,N/A
Delhi Capitals,N/A,N/A,2.12,1.79,N/A,2.50,2.29,N/A,1.96,1.89
Gujarat Titans,1.52,1.70,N/A,N/A,1.49,2.28,N/A,1.70,N/A,1.76
Kolkata Knight Riders,1.57,2.01,N/A,N/A,N/A,N/A,N/A,1.64,2.09,1.95
Lucknow Super Giants,N/A,N/A,2.58,N/A,N/A,2.41,1.92,N/A,2.24,1.71
Mumbai Indians,N/A,1.51,1.62,N/A,1.55,N/A,1.63,1.54,N/A,N/A
Punjab Kings,1.60,1.60,N/A,N/A,1.87,2.23,N/A,1.71,1.93,N/A
Rajasthan Royals,1.82,N/A,2.13,2.24,N/A,2.45,2.11,N/A,N/A,N/A
Royal Challengers Bengaluru,1.60,1.82,N/A,1.72,1.63,N/A,1.85,N/A,N/A,1.71
Sunrisers Hyderabad,N/A,1.90,2.05,1.82,2.12,N/A,N/A,N/A,2.09,N/A
